customerID,Risk_Tier,Risk_Score,Contract,tenure,MonthlyCharges,TotalCharges,PaymentMethod,InternetService,TechSupport,OnlineSecurity,PaperlessBilling,Churn
6711-FLDFB,Critical Risk,11,Month-to-month,7,74.9,541.15,Electronic check,Fiber optic,No,No,Yes,Yes
4614-NUVZD,Critical Risk,11,Month-to-month,1,81.1,81.1,Electronic check,Fiber optic,No,No,Yes,Yes
3494-JCHRQ,Critical Risk,11,Month-to-month,1,70.05,70.05,Electronic check,Fiber optic,No,No,Yes,Yes
5550-VFRLC,Critical Risk,11,Month-to-month,1,69.85,69.85,Electronic check,Fiber optic,No,No,Yes,Yes
6474-FVJLC,Critical Risk,11,Month-to-month,2,86.0,165.45,Electronic check,Fiber optic,No,No,Yes,Yes
7341-LXCAF,Critical Risk,11,Month-to-month,4,74.65,301.4,Electronic check,Fiber optic,No,No,Yes,Yes
1569-TTNYJ,Critical Risk,11,Month-to-month,5,78.75,412.1,Electronic check,Fiber optic,No,No,Yes,Yes
4603-JANFB,Critical Risk,11,Month-to-month,1,69.85,69.85,Electronic check,Fiber optic,No,No,Yes,Yes
6161-UUUTA,Critical Risk,11,Month-to-month,3,79.9,260.9,Electronic check,Fiber optic,No,No,Yes,Yes
9837-BMCLM,Critical Risk,11,Month-to-month,3,78.5,242.05,Electronic check,Fiber optic,No,No,Yes,Yes
1320-HTRDR,Critical Risk,11,Month-to-month,3,75.5,220.6,Electronic check,Fiber optic,No,No,Yes,Yes
4749-OJKQU,Critical Risk,11,Month-to-month,4,75.65,302.35,Electronic check,Fiber optic,No,No,Yes,No
9334-GWGOW,Critical Risk,11,Month-to-month,7,74.85,485.25,Electronic check,Fiber optic,No,No,Yes,No
3519-ZKXGG,Critical Risk,11,Month-to-month,3,75.85,256.6,Electronic check,Fiber optic,No,No,Yes,Yes
4548-SDBKE,Critical Risk,11,Month-to-month,5,85.2,474.8,Electronic check,Fiber optic,No,No,Yes,Yes
8225-BTJAU,Critical Risk,11,Month-to-month,10,79.25,793.55,Electronic check,Fiber optic,No,No,Yes,Yes
6358-LYNGM,Critical Risk,11,Month-to-month,1,74.9,74.9,Electronic check,Fiber optic,No,No,Yes,Yes
4229-CZMLL,Critical Risk,11,Month-to-month,6,74.9,469.8,Electronic check,Fiber optic,No,No,Yes,Yes
8372-JUXUI,Critical Risk,11,Month-to-month,1,74.35,74.35,Electronic check,Fiber optic,No,No,Yes,Yes
2018-QKYGT,Critical Risk,11,Month-to-month,1,81.05,81.05,Electronic check,Fiber optic,No,No,Yes,No
5835-BEQEU,Critical Risk,11,Month-to-month,3,76.95,228.4,Electronic check,Fiber optic,No,No,Yes,Yes
8931-GJJIQ,Critical Risk,11,Month-to-month,9,83.3,803.3,Electronic check,Fiber optic,No,No,Yes,Yes
4210-QFJMF,Critical Risk,11,Month-to-month,4,79.15,317.25,Electronic check,Fiber optic,No,No,Yes,Yes
4282-YMKNA,Critical Risk,11,Month-to-month,9,74.75,706.6,Electronic check,Fiber optic,No,No,Yes,Yes
3721-CNEYS,Critical Risk,11,Month-to-month,2,70.95,137.95,Electronic check,Fiber optic,No,No,Yes,Yes
9399-APLBT,Critical Risk,11,Month-to-month,1,74.7,74.7,Electronic check,Fiber optic,No,No,Yes,Yes
2026-TGDHM,Critical Risk,11,Month-to-month,7,79.3,523.15,Electronic check,Fiber optic,No,No,Yes,Yes
7665-TOALD,Critical Risk,11,Month-to-month,1,69.6,69.6,Electronic check,Fiber optic,No,No,Yes,Yes
5054-IEXZT,Critical Risk,11,Month-to-month,1,75.35,75.35,Electronic check,Fiber optic,No,No,Yes,Yes
1452-VOQCH,Critical Risk,11,Month-to-month,1,75.1,75.1,Electronic check,Fiber optic,No,No,Yes,No
2688-BHGOG,Critical Risk,11,Month-to-month,9,79.55,718.55,Electronic check,Fiber optic,No,No,Yes,No
5834-ASPWA,Critical Risk,11,Month-to-month,1,75.45,75.45,Electronic check,Fiber optic,No,No,Yes,Yes
3727-RJMEO,Critical Risk,11,Month-to-month,6,82.85,460.25,Electronic check,Fiber optic,No,No,Yes,Yes
7321-VGNKU,Critical Risk,11,Month-to-month,2,70.35,120.25,Electronic check,Fiber optic,No,No,Yes,No
4550-EVXNY,Critical Risk,11,Month-to-month,1,69.65,69.65,Electronic check,Fiber optic,No,No,Yes,Yes
7576-OYWBN,Critical Risk,11,Month-to-month,3,76.05,231.8,Electronic check,Fiber optic,No,No,Yes,Yes
8325-QRPZR,Critical Risk,11,Month-to-month,7,75.15,525.0,Electronic check,Fiber optic,No,No,Yes,No
9282-IZGQK,Critical Risk,11,Month-to-month,1,85.0,85.0,Electronic check,Fiber optic,No,No,Yes,Yes
6077-BDPXA,Critical Risk,11,Month-to-month,3,70.15,194.2,Electronic check,Fiber optic,No,No,Yes,No
4143-OOBWZ,Critical Risk,11,Month-to-month,5,81.3,416.3,Electronic check,Fiber optic,No,No,Yes,Yes
5976-JCJRH,Critical Risk,11,Month-to-month,10,70.3,738.2,Electronic check,Fiber optic,No,No,Yes,Yes
5494-HECPR,Critical Risk,11,Month-to-month,1,80.25,80.25,Electronic check,Fiber optic,No,No,Yes,Yes
3422-LYEPQ,Critical Risk,11,Month-to-month,1,71.0,71.0,Electronic check,Fiber optic,No,No,Yes,Yes
2642-DTVCO,Critical Risk,11,Month-to-month,9,85.05,746.5,Electronic check,Fiber optic,No,No,Yes,Yes
5539-TMZLF,Critical Risk,11,Month-to-month,1,69.75,69.75,Electronic check,Fiber optic,No,No,Yes,Yes
4234-XTNEA,Critical Risk,11,Month-to-month,2,79.95,174.45,Electronic check,Fiber optic,No,No,Yes,No
1618-CFHME,Critical Risk,11,Month-to-month,2,75.9,143.35,Electronic check,Fiber optic,No,No,Yes,Yes
1363-TXLSL,Critical Risk,11,Month-to-month,1,70.3,70.3,Electronic check,Fiber optic,No,No,Yes,Yes
4291-SHSBH,Critical Risk,11,Month-to-month,7,69.55,521.35,Electronic check,Fiber optic,No,No,Yes,No
9897-KXHCM,Critical Risk,11,Month-to-month,3,80.3,250.05,Electronic check,Fiber optic,No,No,Yes,Yes
2077-MPJQO,Critical Risk,11,Month-to-month,7,75.4,533.05,Electronic check,Fiber optic,No,No,Yes,No
5956-VKDTT,Critical Risk,11,Month-to-month,5,74.35,334.8,Electronic check,Fiber optic,No,No,Yes,Yes
4581-SSPWD,Critical Risk,11,Month-to-month,3,75.8,246.3,Electronic check,Fiber optic,No,No,Yes,Yes
7858-GTZSP,Critical Risk,11,Month-to-month,12,86.55,1066.9,Electronic check,Fiber optic,No,No,Yes,No
0196-VULGZ,Critical Risk,11,Month-to-month,6,84.35,474.9,Electronic check,Fiber optic,No,No,Yes,Yes
8473-VUVJN,Critical Risk,11,Month-to-month,1,73.65,73.65,Electronic check,Fiber optic,No,No,Yes,Yes
2609-IAICY,Critical Risk,11,Month-to-month,1,77.15,77.15,Electronic check,Fiber optic,No,No,Yes,Yes
7817-BOQPW,Critical Risk,11,Month-to-month,2,75.55,166.3,Electronic check,Fiber optic,No,No,Yes,Yes
7326-RIGQZ,Critical Risk,11,Month-to-month,6,69.8,377.85,Electronic check,Fiber optic,No,No,Yes,No
0679-IDSTG,Critical Risk,11,Month-to-month,1,69.25,69.25,Electronic check,Fiber optic,No,No,Yes,Yes
0018-NYROU,Critical Risk,11,Month-to-month,5,68.95,351.5,Electronic check,Fiber optic,No,No,Yes,No
4713-LZDRV,Critical Risk,11,Month-to-month,2,79.6,195.05,Electronic check,Fiber optic,No,No,Yes,Yes
7354-OIJLX,Critical Risk,11,Month-to-month,9,75.85,724.65,Electronic check,Fiber optic,No,No,Yes,No
1678-FYZOW,Critical Risk,11,Month-to-month,3,79.4,244.65,Electronic check,Fiber optic,No,No,Yes,Yes
8740-CRYFY,Critical Risk,11,Month-to-month,1,78.95,78.95,Electronic check,Fiber optic,No,No,Yes,Yes
0495-RVCBF,Critical Risk,11,Month-to-month,1,79.7,79.7,Electronic check,Fiber optic,No,No,Yes,Yes
7409-KIUTL,Critical Risk,11,Month-to-month,1,71.0,71.0,Electronic check,Fiber optic,No,No,Yes,Yes
8258-GSTJK,Critical Risk,11,Month-to-month,3,77.0,237.75,Electronic check,Fiber optic,No,No,Yes,Yes
8541-QVFKM,Critical Risk,11,Month-to-month,8,73.5,632.2,Electronic check,Fiber optic,No,No,Yes,No
0637-KVDLV,Critical Risk,11,Month-to-month,2,76.5,162.45,Electronic check,Fiber optic,No,No,Yes,Yes
4274-OWWYO,Critical Risk,11,Month-to-month,1,74.35,74.35,Electronic check,Fiber optic,No,No,Yes,Yes
9965-YOKZB,Critical Risk,11,Month-to-month,9,83.85,790.15,Electronic check,Fiber optic,No,No,Yes,Yes
0722-TROQR,Critical Risk,11,Month-to-month,4,74.9,321.75,Electronic check,Fiber optic,No,No,Yes,Yes
9717-QEBGU,Critical Risk,11,Month-to-month,2,70.3,144.0,Electronic check,Fiber optic,No,No,Yes,No
1853-UDXBW,Critical Risk,11,Month-to-month,1,70.0,70.0,Electronic check,Fiber optic,No,No,Yes,Yes
6653-CBBOM,Critical Risk,11,Month-to-month,1,70.3,70.3,Electronic check,Fiber optic,No,No,Yes,Yes
1907-UBQFC,Critical Risk,11,Month-to-month,10,72.85,688.65,Electronic check,Fiber optic,No,No,Yes,Yes
6513-EECDB,Critical Risk,11,Month-to-month,1,73.55,73.55,Electronic check,Fiber optic,No,No,Yes,Yes
9804-ICWBG,Critical Risk,11,Month-to-month,1,69.9,69.9,Electronic check,Fiber optic,No,No,Yes,Yes
4770-UEZOX,Critical Risk,11,Month-to-month,2,74.75,144.8,Electronic check,Fiber optic,No,No,Yes,No
2055-PDADH,Critical Risk,11,Month-to-month,3,70.4,204.7,Electronic check,Fiber optic,No,No,Yes,Yes
3765-JXVKY,Critical Risk,11,Month-to-month,1,74.7,74.7,Electronic check,Fiber optic,No,No,Yes,Yes
5875-YPQFJ,Critical Risk,11,Month-to-month,1,69.9,69.9,Electronic check,Fiber optic,No,No,Yes,Yes
8603-IJWDN,Critical Risk,11,Month-to-month,1,86.6,86.6,Electronic check,Fiber optic,No,No,Yes,Yes
5134-IKDAY,Critical Risk,11,Month-to-month,1,69.8,69.8,Electronic check,Fiber optic,No,No,Yes,Yes
2612-RRIDN,Critical Risk,11,Month-to-month,4,81.0,340.85,Electronic check,Fiber optic,No,No,Yes,Yes
5542-TBBWB,Critical Risk,11,Month-to-month,1,69.9,69.9,Electronic check,Fiber optic,No,No,Yes,No
1867-BDVFH,Critical Risk,11,Month-to-month,11,74.35,834.2,Electronic check,Fiber optic,No,No,Yes,Yes
8380-PEFPE,Critical Risk,11,Month-to-month,1,71.65,71.65,Electronic check,Fiber optic,No,No,Yes,Yes
1428-GTBJJ,Critical Risk,11,Month-to-month,11,74.55,824.75,Electronic check,Fiber optic,No,No,Yes,Yes
6630-UJZMY,Critical Risk,11,Month-to-month,4,83.25,308.05,Electronic check,Fiber optic,No,No,Yes,No
4750-ZRXIU,Critical Risk,11,Month-to-month,4,84.6,360.1,Electronic check,Fiber optic,No,No,Yes,Yes
8375-DKEBR,Critical Risk,11,Month-to-month,1,69.6,69.6,Electronic check,Fiber optic,No,No,Yes,Yes
1761-AEZZR,Critical Risk,11,Month-to-month,1,79.55,79.55,Electronic check,Fiber optic,No,No,Yes,Yes
7074-IEVOJ,Critical Risk,11,Month-to-month,3,79.4,205.05,Electronic check,Fiber optic,No,No,Yes,Yes
5928-QLDHB,Critical Risk,11,Month-to-month,9,76.25,684.85,Electronic check,Fiber optic,No,No,Yes,No
9231-ZJYAM,Critical Risk,11,Month-to-month,4,78.85,292.8,Electronic check,Fiber optic,No,No,Yes,Yes
7439-DKZTW,Critical Risk,11,Month-to-month,1,80.55,80.55,Electronic check,Fiber optic,No,No,Yes,No
8062-YBDOE,Critical Risk,11,Month-to-month,1,69.65,69.65,Electronic check,Fiber optic,No,No,Yes,Yes
9689-PTNPG,Critical Risk,11,Month-to-month,2,80.25,144.55,Electronic check,Fiber optic,No,No,Yes,Yes
0709-TVGUR,Critical Risk,11,Month-to-month,9,74.55,622.9,Electronic check,Fiber optic,No,No,Yes,Yes
0455-XFASS,Critical Risk,11,Month-to-month,3,69.55,200.2,Electronic check,Fiber optic,No,No,Yes,No
2691-NZETQ,Critical Risk,11,Month-to-month,9,85.35,758.6,Electronic check,Fiber optic,No,No,Yes,Yes
5376-DEQCP,Critical Risk,11,Month-to-month,1,70.6,70.6,Electronic check,Fiber optic,No,No,Yes,Yes
0318-QUUOB,Critical Risk,11,Month-to-month,1,80.55,80.55,Electronic check,Fiber optic,No,No,Yes,Yes
9878-TNQGW,Critical Risk,11,Month-to-month,2,80.95,171.15,Electronic check,Fiber optic,No,No,Yes,Yes
3428-XZMAZ,Critical Risk,11,Month-to-month,1,69.35,69.35,Electronic check,Fiber optic,No,No,Yes,Yes
6860-YRJZP,Critical Risk,11,Month-to-month,9,74.05,678.45,Electronic check,Fiber optic,No,No,Yes,No
4826-XTSOH,Critical Risk,11,Month-to-month,1,86.05,86.05,Electronic check,Fiber optic,No,No,Yes,Yes
6786-OBWQR,Critical Risk,11,Month-to-month,5,80.85,356.1,Electronic check,Fiber optic,No,No,Yes,No
2506-TNFCO,Critical Risk,11,Month-to-month,1,69.55,69.55,Electronic check,Fiber optic,No,No,Yes,Yes
8808-ELEHO,Critical Risk,11,Month-to-month,8,81.25,585.95,Electronic check,Fiber optic,No,No,Yes,Yes
4952-YSOGZ,Critical Risk,11,Month-to-month,4,85.95,381.3,Electronic check,Fiber optic,No,No,Yes,Yes
6437-UKHMV,Critical Risk,11,Month-to-month,7,79.7,586.05,Electronic check,Fiber optic,No,No,Yes,Yes
1143-NMNQJ,Critical Risk,11,Month-to-month,2,85.7,169.8,Electronic check,Fiber optic,No,No,Yes,Yes
4912-PIGUY,Critical Risk,11,Month-to-month,1,84.6,84.6,Electronic check,Fiber optic,No,No,Yes,No
8065-YKXKD,Critical Risk,11,Month-to-month,10,74.75,799.65,Electronic check,Fiber optic,No,No,Yes,Yes
7379-POKDZ,Critical Risk,11,Month-to-month,3,70.3,208.85,Electronic check,Fiber optic,No,No,Yes,Yes
6168-WFVVF,Critical Risk,11,Month-to-month,3,70.3,235.5,Electronic check,Fiber optic,No,No,Yes,Yes
2004-OCQXK,Critical Risk,11,Month-to-month,1,81.95,81.95,Electronic check,Fiber optic,No,No,Yes,Yes
6000-APYLU,Critical Risk,11,Month-to-month,9,80.8,713.1,Electronic check,Fiber optic,No,No,Yes,Yes
5277-ZLOOR,Critical Risk,11,Month-to-month,2,85.55,187.45,Electronic check,Fiber optic,No,No,Yes,Yes
8382-SHQEH,Critical Risk,11,Month-to-month,8,84.9,764.95,Electronic check,Fiber optic,No,No,Yes,Yes
1820-TQVEV,Critical Risk,11,Month-to-month,1,69.55,69.55,Electronic check,Fiber optic,No,No,Yes,Yes
5027-QPKTE,Critical Risk,11,Month-to-month,7,69.35,451.1,Electronic check,Fiber optic,No,No,Yes,Yes
1981-INRFU,Critical Risk,11,Month-to-month,2,79.75,164.5,Electronic check,Fiber optic,No,No,Yes,Yes
6941-PMGEP,Critical Risk,11,Month-to-month,5,80.0,412.5,Electronic check,Fiber optic,No,No,Yes,Yes
1069-XAIEM,Critical Risk,11,Month-to-month,1,85.05,85.05,Electronic check,Fiber optic,No,No,Yes,Yes
8593-WHYHV,Critical Risk,11,Month-to-month,3,85.3,264.8,Electronic check,Fiber optic,No,No,Yes,Yes
3030-YDNRM,Critical Risk,11,Month-to-month,8,74.85,572.45,Electronic check,Fiber optic,No,No,Yes,No
8058-INTPH,Critical Risk,11,Month-to-month,1,79.65,79.65,Electronic check,Fiber optic,No,No,Yes,Yes
7314-OXENN,Critical Risk,11,Month-to-month,2,82.0,184.65,Electronic check,Fiber optic,No,No,Yes,Yes
3999-QGRJH,Critical Risk,11,Month-to-month,8,69.7,560.85,Electronic check,Fiber optic,No,No,Yes,Yes
4102-OQUPX,Critical Risk,11,Month-to-month,1,74.4,74.4,Electronic check,Fiber optic,No,No,Yes,Yes
6979-ZNSFF,Critical Risk,11,Month-to-month,8,87.05,762.1,Electronic check,Fiber optic,No,No,Yes,Yes
3750-CKVKH,Critical Risk,11,Month-to-month,2,67.75,116.65,Electronic check,Fiber optic,No,No,Yes,Yes
1689-YQBYY,Critical Risk,11,Month-to-month,12,76.6,893.0,Electronic check,Fiber optic,No,No,Yes,No
7613-LLQFO,Critical Risk,11,Month-to-month,12,84.45,1059.55,Electronic check,Fiber optic,No,No,Yes,Yes
5445-UTODQ,Critical Risk,11,Month-to-month,7,81.1,576.65,Electronic check,Fiber optic,No,No,Yes,Yes
2568-BRGYX,Critical Risk,11,Month-to-month,4,70.2,237.95,Electronic check,Fiber optic,No,No,Yes,Yes
9408-SSNVZ,Critical Risk,11,Month-to-month,4,70.15,268.35,Electronic check,Fiber optic,No,No,Yes,Yes
3453-RTHJQ,Critical Risk,11,Month-to-month,6,69.1,435.0,Electronic check,Fiber optic,No,No,Yes,No
1031-IIDEO,Critical Risk,11,Month-to-month,1,70.85,70.85,Electronic check,Fiber optic,No,No,Yes,Yes
1508-DFXCU,Critical Risk,11,Month-to-month,12,81.45,912.0,Electronic check,Fiber optic,No,No,Yes,No
6339-YPSAH,Critical Risk,11,Month-to-month,9,73.8,704.3,Electronic check,Fiber optic,No,No,Yes,No
8644-XLFBW,Critical Risk,11,Month-to-month,1,71.65,71.65,Electronic check,Fiber optic,No,No,Yes,Yes
1157-BQCUW,Critical Risk,11,Month-to-month,1,74.95,74.95,Electronic check,Fiber optic,No,No,Yes,Yes
6567-HOOPW,Critical Risk,11,Month-to-month,1,79.2,79.2,Electronic check,Fiber optic,No,No,Yes,Yes
7488-MXJIV,Critical Risk,11,Month-to-month,4,85.65,321.65,Electronic check,Fiber optic,No,No,Yes,Yes
9306-CPCBC,Critical Risk,11,Month-to-month,3,74.25,210.3,Electronic check,Fiber optic,No,No,Yes,Yes
4510-HIMLV,Critical Risk,11,Month-to-month,1,69.8,69.8,Electronic check,Fiber optic,No,No,Yes,Yes
7249-WBIYX,Critical Risk,11,Month-to-month,10,85.6,813.85,Electronic check,Fiber optic,No,No,Yes,Yes
5919-TMRGD,Critical Risk,11,Month-to-month,1,79.35,79.35,Electronic check,Fiber optic,No,No,Yes,Yes
1833-VGRUM,Critical Risk,11,Month-to-month,1,74.2,74.2,Electronic check,Fiber optic,No,No,Yes,Yes
7254-IQWOZ,Critical Risk,11,Month-to-month,1,69.65,69.65,Electronic check,Fiber optic,No,No,Yes,Yes
5960-WPXQM,Critical Risk,11,Month-to-month,1,79.05,79.05,Electronic check,Fiber optic,No,No,Yes,Yes
9728-FTTVZ,Critical Risk,11,Month-to-month,1,69.2,69.2,Electronic check,Fiber optic,No,No,Yes,Yes
0488-GSLFR,Critical Risk,11,Month-to-month,1,69.5,69.5,Electronic check,Fiber optic,No,No,Yes,Yes
4795-KTRTH,Critical Risk,11,Month-to-month,5,81.0,371.65,Electronic check,Fiber optic,No,No,Yes,Yes
7245-NIIWQ,Critical Risk,11,Month-to-month,3,69.85,199.85,Electronic check,Fiber optic,No,No,Yes,No
1077-HUUJM,Critical Risk,11,Month-to-month,7,71.05,472.65,Electronic check,Fiber optic,No,No,Yes,No
9300-RENDD,Critical Risk,11,Month-to-month,1,79.95,79.95,Electronic check,Fiber optic,No,No,Yes,Yes
7594-RQHXR,Critical Risk,11,Month-to-month,1,79.6,79.6,Electronic check,Fiber optic,No,No,Yes,Yes
3551-HUAZH,Critical Risk,11,Month-to-month,1,74.4,74.4,Electronic check,Fiber optic,No,No,Yes,Yes
8739-XNIKG,Critical Risk,11,Month-to-month,5,84.0,424.75,Electronic check,Fiber optic,No,No,Yes,No
3191-CSNMG,Critical Risk,11,Month-to-month,3,80.7,239.45,Electronic check,Fiber optic,No,No,Yes,No
2545-EBUPK,Critical Risk,11,Month-to-month,2,84.05,186.05,Electronic check,Fiber optic,No,No,Yes,No
0004-TLHLJ,Critical Risk,11,Month-to-month,4,73.9,280.85,Electronic check,Fiber optic,No,No,Yes,Yes
2880-FPNAE,Critical Risk,11,Month-to-month,2,74.2,140.1,Electronic check,Fiber optic,No,No,Yes,No
2215-ZAFGX,Critical Risk,11,Month-to-month,9,85.5,791.7,Electronic check,Fiber optic,No,No,Yes,No
8800-JOOCF,Critical Risk,11,Month-to-month,12,84.05,966.55,Electronic check,Fiber optic,No,No,Yes,No
7180-PISOG,Critical Risk,11,Month-to-month,1,74.5,74.5,Electronic check,Fiber optic,No,No,Yes,Yes
2789-HQBOU,Critical Risk,11,Month-to-month,3,80.35,253.8,Electronic check,Fiber optic,No,No,Yes,No
2897-DOVND,Critical Risk,11,Month-to-month,2,69.8,146.65,Electronic check,Fiber optic,No,No,Yes,No
3878-AVSOQ,Critical Risk,11,Month-to-month,1,71.25,71.25,Electronic check,Fiber optic,No,No,Yes,No
1016-DJTSV,Critical Risk,11,Month-to-month,8,69.7,572.85,Electronic check,Fiber optic,No,No,Yes,No
7660-HDPJV,Critical Risk,11,Month-to-month,1,69.2,69.2,Electronic check,Fiber optic,No,No,Yes,Yes
2514-GINMM,Critical Risk,11,Month-to-month,1,79.5,79.5,Electronic check,Fiber optic,No,No,Yes,Yes
8816-VXNZD,Critical Risk,11,Month-to-month,1,75.1,75.1,Electronic check,Fiber optic,No,No,Yes,Yes
3716-BDVDB,Critical Risk,11,Month-to-month,1,69.1,69.1,Electronic check,Fiber optic,No,No,Yes,Yes
9488-HGMJH,Critical Risk,11,Month-to-month,1,71.15,71.15,Electronic check,Fiber optic,No,No,Yes,Yes
8185-UPYBR,Critical Risk,11,Month-to-month,6,75.5,438.0,Electronic check,Fiber optic,No,No,Yes,Yes
2446-PLQVO,Critical Risk,11,Month-to-month,1,70.3,70.3,Electronic check,Fiber optic,No,No,Yes,Yes
5288-AHOUP,Critical Risk,11,Month-to-month,11,78.5,874.2,Electronic check,Fiber optic,No,No,Yes,No
9451-LPGOO,Critical Risk,11,Month-to-month,7,86.8,620.35,Electronic check,Fiber optic,No,No,Yes,Yes
2482-CZGBB,Critical Risk,11,Month-to-month,10,70.0,740.0,Electronic check,Fiber optic,No,No,Yes,Yes
4482-EWFMI,Critical Risk,11,Month-to-month,2,69.7,135.2,Electronic check,Fiber optic,No,No,Yes,No
9957-YODKZ,Critical Risk,11,Month-to-month,6,80.8,457.1,Electronic check,Fiber optic,No,No,Yes,No
0872-NXJYS,Critical Risk,11,Month-to-month,9,79.55,723.4,Electronic check,Fiber optic,No,No,Yes,Yes
2959-MJHIC,Critical Risk,11,Month-to-month,4,80.35,307.4,Electronic check,Fiber optic,No,No,Yes,Yes
3489-HHPFY,Critical Risk,11,Month-to-month,2,84.05,134.05,Electronic check,Fiber optic,No,No,Yes,No
1447-GIQMR,Critical Risk,11,Month-to-month,1,69.15,69.15,Electronic check,Fiber optic,No,No,Yes,Yes
0508-OOLTO,Critical Risk,11,Month-to-month,2,71.65,135.75,Electronic check,Fiber optic,No,No,Yes,No
1925-TIBLE,Critical Risk,11,Month-to-month,7,86.5,582.5,Electronic check,Fiber optic,No,No,Yes,Yes
4585-HETAI,Critical Risk,11,Month-to-month,4,73.75,325.45,Electronic check,Fiber optic,No,No,Yes,Yes
4415-IJZTP,Critical Risk,11,Month-to-month,1,74.5,74.5,Electronic check,Fiber optic,No,No,Yes,Yes
4529-CKBCL,Critical Risk,11,Month-to-month,2,80.2,146.05,Electronic check,Fiber optic,No,No,Yes,Yes
4806-HIPDW,Critical Risk,11,Month-to-month,1,68.95,68.95,Electronic check,Fiber optic,No,No,Yes,Yes
6229-LSCKB,Critical Risk,11,Month-to-month,6,79.7,497.6,Electronic check,Fiber optic,No,No,Yes,No
9248-OJYKK,Critical Risk,11,Month-to-month,1,76.45,76.45,Electronic check,Fiber optic,No,No,Yes,Yes
6457-USBER,Critical Risk,11,Month-to-month,1,80.8,80.8,Electronic check,Fiber optic,No,No,Yes,Yes
6357-JJPQT,Critical Risk,11,Month-to-month,3,80.5,232.35,Electronic check,Fiber optic,No,No,Yes,No
8443-ZRDBZ,Critical Risk,11,Month-to-month,4,76.05,318.9,Electronic check,Fiber optic,No,No,Yes,Yes
5159-YFPKQ,Critical Risk,11,Month-to-month,2,75.8,160.75,Electronic check,Fiber optic,No,No,Yes,Yes
0840-DFEZH,Critical Risk,11,Month-to-month,7,75.35,564.65,Electronic check,Fiber optic,No,No,Yes,No
3488-PGMQJ,Critical Risk,11,Month-to-month,8,74.5,606.55,Electronic check,Fiber optic,No,No,Yes,Yes
